image_id,image_path,label,label_length,source,split
AA03BOJ,data/raw/plate_crops/white/AA03BOJ.png,AA03BOJ,7,uk_plate_original_crops,train
AA06OHE,data/raw/plate_crops/white/AA06OHE.png,AA06OHE,7,uk_plate_original_crops,train
AA15VJJ,data/raw/plate_crops/white/AA15VJJ.png,AA15VJJ,7,uk_plate_original_crops,train
AA19HSV,data/raw/plate_crops/white/AA19HSV.png,AA19HSV,7,uk_plate_original_crops,train
AA22JTE,data/raw/plate_crops/white/AA22JTE.png,AA22JTE,7,uk_plate_original_crops,train
AA25WEI,data/raw/plate_crops/white/AA25WEI.png,AA25WEI,7,uk_plate_original_crops,train
AA39HMS,data/raw/plate_crops/white/AA39HMS.png,AA39HMS,7,uk_plate_original_crops,test
AA61PSS,data/raw/plate_crops/white/AA61PSS.png,AA61PSS,7,uk_plate_original_crops,train
AA67AAL,data/raw/plate_crops/white/AA67AAL.png,AA67AAL,7,uk_plate_original_crops,train
AA70PYY,data/raw/plate_crops/white/AA70PYY.png,AA70PYY,7,uk_plate_original_crops,train
AA71THV,data/raw/plate_crops/white/AA71THV.png,AA71THV,7,uk_plate_original_crops,train
AA73YVF,data/raw/plate_crops/white/AA73YVF.png,AA73YVF,7,uk_plate_original_crops,train
AA74XRU,data/raw/plate_crops/white/AA74XRU.png,AA74XRU,7,uk_plate_original_crops,train
AA75VSE,data/raw/plate_crops/white/AA75VSE.png,AA75VSE,7,uk_plate_original_crops,train
AA79QWG,data/raw/plate_crops/white/AA79QWG.png,AA79QWG,7,uk_plate_original_crops,val
AA83CUF,data/raw/plate_crops/white/AA83CUF.png,AA83CUF,7,uk_plate_original_crops,train
AA83JIE,data/raw/plate_crops/white/AA83JIE.png,AA83JIE,7,uk_plate_original_crops,train
AA86DYR,data/raw/plate_crops/white/AA86DYR.png,AA86DYR,7,uk_plate_original_crops,val
AB07AGE,data/raw/plate_crops/white/AB07AGE.png,AB07AGE,7,uk_plate_original_crops,train
AB10NUT,data/raw/plate_crops/white/AB10NUT.png,AB10NUT,7,uk_plate_original_crops,train
AB16JJK,data/raw/plate_crops/white/AB16JJK.png,AB16JJK,7,uk_plate_original_crops,train
AB22IGA,data/raw/plate_crops/white/AB22IGA.png,AB22IGA,7,uk_plate_original_crops,train
AB22PCK,data/raw/plate_crops/white/AB22PCK.png,AB22PCK,7,uk_plate_original_crops,train
AB29KHQ,data/raw/plate_crops/white/AB29KHQ.png,AB29KHQ,7,uk_plate_original_crops,train
AB35IPS,data/raw/plate_crops/white/AB35IPS.png,AB35IPS,7,uk_plate_original_crops,train
AB37TQP,data/raw/plate_crops/white/AB37TQP.png,AB37TQP,7,uk_plate_original_crops,train
AB39APD,data/raw/plate_crops/white/AB39APD.png,AB39APD,7,uk_plate_original_crops,train
AB42XID,data/raw/plate_crops/white/AB42XID.png,AB42XID,7,uk_plate_original_crops,test
AB45OUH,data/raw/plate_crops/white/AB45OUH.png,AB45OUH,7,uk_plate_original_crops,val
AB48ADW,data/raw/plate_crops/white/AB48ADW.png,AB48ADW,7,uk_plate_original_crops,train
AB48HWZ,data/raw/plate_crops/white/AB48HWZ.png,AB48HWZ,7,uk_plate_original_crops,train
AB57DMS,data/raw/plate_crops/white/AB57DMS.png,AB57DMS,7,uk_plate_original_crops,val
AB63APT,data/raw/plate_crops/white/AB63APT.png,AB63APT,7,uk_plate_original_crops,train
AB63JHI,data/raw/plate_crops/white/AB63JHI.png,AB63JHI,7,uk_plate_original_crops,train
AB77OLF,data/raw/plate_crops/white/AB77OLF.png,AB77OLF,7,uk_plate_original_crops,train
AB78ZLT,data/raw/plate_crops/white/AB78ZLT.png,AB78ZLT,7,uk_plate_original_crops,train
AB81EXE,data/raw/plate_crops/white/AB81EXE.png,AB81EXE,7,uk_plate_original_crops,test
AB86FAU,data/raw/plate_crops/white/AB86FAU.png,AB86FAU,7,uk_plate_original_crops,val
AB86RKN,data/raw/plate_crops/white/AB86RKN.png,AB86RKN,7,uk_plate_original_crops,train
AB88VEK,data/raw/plate_crops/white/AB88VEK.png,AB88VEK,7,uk_plate_original_crops,test
AB94JDY,data/raw/plate_crops/white/AB94JDY.png,AB94JDY,7,uk_plate_original_crops,train
AB96NPM,data/raw/plate_crops/white/AB96NPM.png,AB96NPM,7,uk_plate_original_crops,train
AC06AYP,data/raw/plate_crops/white/AC06AYP.png,AC06AYP,7,uk_plate_original_crops,train
AC06GLN,data/raw/plate_crops/white/AC06GLN.png,AC06GLN,7,uk_plate_original_crops,train
AC16UWW,data/raw/plate_crops/white/AC16UWW.png,AC16UWW,7,uk_plate_original_crops,train
AC50ZMQ,data/raw/plate_crops/white/AC50ZMQ.png,AC50ZMQ,7,uk_plate_original_crops,train
AC53LNF,data/raw/plate_crops/white/AC53LNF.png,AC53LNF,7,uk_plate_original_crops,train
AC54COT,data/raw/plate_crops/white/AC54COT.png,AC54COT,7,uk_plate_original_crops,train
AC62NMO,data/raw/plate_crops/white/AC62NMO.png,AC62NMO,7,uk_plate_original_crops,train
AC75WEJ,data/raw/plate_crops/white/AC75WEJ.png,AC75WEJ,7,uk_plate_original_crops,val
AC76RNT,data/raw/plate_crops/white/AC76RNT.png,AC76RNT,7,uk_plate_original_crops,test
AC77AAX,data/raw/plate_crops/white/AC77AAX.png,AC77AAX,7,uk_plate_original_crops,train
AC81OFT,data/raw/plate_crops/white/AC81OFT.png,AC81OFT,7,uk_plate_original_crops,train
AC83IVP,data/raw/plate_crops/white/AC83IVP.png,AC83IVP,7,uk_plate_original_crops,train
AD02QZY,data/raw/plate_crops/white/AD02QZY.png,AD02QZY,7,uk_plate_original_crops,train
AD06NUL,data/raw/plate_crops/white/AD06NUL.png,AD06NUL,7,uk_plate_original_crops,train
AD13AUH,data/raw/plate_crops/white/AD13AUH.png,AD13AUH,7,uk_plate_original_crops,train
AD25YDC,data/raw/plate_crops/white/AD25YDC.png,AD25YDC,7,uk_plate_original_crops,train
AD30JXD,data/raw/plate_crops/white/AD30JXD.png,AD30JXD,7,uk_plate_original_crops,train
AD32JEV,data/raw/plate_crops/white/AD32JEV.png,AD32JEV,7,uk_plate_original_crops,train
AD35MQG,data/raw/plate_crops/white/AD35MQG.png,AD35MQG,7,uk_plate_original_crops,test
AD39LGW,data/raw/plate_crops/white/AD39LGW.png,AD39LGW,7,uk_plate_original_crops,train
AD42HQG,data/raw/plate_crops/white/AD42HQG.png,AD42HQG,7,uk_plate_original_crops,train
AD44PZH,data/raw/plate_crops/white/AD44PZH.png,AD44PZH,7,uk_plate_original_crops,train
AD44ZMD,data/raw/plate_crops/white/AD44ZMD.png,AD44ZMD,7,uk_plate_original_crops,train
AD45CVB,data/raw/plate_crops/white/AD45CVB.png,AD45CVB,7,uk_plate_original_crops,train
AD48MNP,data/raw/plate_crops/white/AD48MNP.png,AD48MNP,7,uk_plate_original_crops,train
AD55ORS,data/raw/plate_crops/white/AD55ORS.png,AD55ORS,7,uk_plate_original_crops,train
AD56DFK,data/raw/plate_crops/white/AD56DFK.png,AD56DFK,7,uk_plate_original_crops,train
AD64MHP,data/raw/plate_crops/white/AD64MHP.png,AD64MHP,7,uk_plate_original_crops,val
AD79JFS,data/raw/plate_crops/white/AD79JFS.png,AD79JFS,7,uk_plate_original_crops,train
AD82SWQ,data/raw/plate_crops/white/AD82SWQ.png,AD82SWQ,7,uk_plate_original_crops,train
AE10KPS,data/raw/plate_crops/white/AE10KPS.png,AE10KPS,7,uk_plate_original_crops,train
AE21GHO,data/raw/plate_crops/white/AE21GHO.png,AE21GHO,7,uk_plate_original_crops,train
AE25GAX,data/raw/plate_crops/white/AE25GAX.png,AE25GAX,7,uk_plate_original_crops,train
AE30PKX,data/raw/plate_crops/white/AE30PKX.png,AE30PKX,7,uk_plate_original_crops,train
AE40PSX,data/raw/plate_crops/white/AE40PSX.png,AE40PSX,7,uk_plate_original_crops,train
AE43KSR,data/raw/plate_crops/white/AE43KSR.png,AE43KSR,7,uk_plate_original_crops,train
AE44AIR,data/raw/plate_crops/white/AE44AIR.png,AE44AIR,7,uk_plate_original_crops,train
AE44MDI,data/raw/plate_crops/white/AE44MDI.png,AE44MDI,7,uk_plate_original_crops,train
AE57RWA,data/raw/plate_crops/white/AE57RWA.png,AE57RWA,7,uk_plate_original_crops,train
AE64HHM,data/raw/plate_crops/white/AE64HHM.png,AE64HHM,7,uk_plate_original_crops,train
AE88SWY,data/raw/plate_crops/white/AE88SWY.png,AE88SWY,7,uk_plate_original_crops,train
AE90YQP,data/raw/plate_crops/white/AE90YQP.png,AE90YQP,7,uk_plate_original_crops,test
AE99WZM,data/raw/plate_crops/white/AE99WZM.png,AE99WZM,7,uk_plate_original_crops,train
AF01PJH,data/raw/plate_crops/white/AF01PJH.png,AF01PJH,7,uk_plate_original_crops,train
AF05PPI,data/raw/plate_crops/white/AF05PPI.png,AF05PPI,7,uk_plate_original_crops,train
AF06TIV,data/raw/plate_crops/white/AF06TIV.png,AF06TIV,7,uk_plate_original_crops,train
AF21JCC,data/raw/plate_crops/white/AF21JCC.png,AF21JCC,7,uk_plate_original_crops,train
AF24YGR,data/raw/plate_crops/white/AF24YGR.png,AF24YGR,7,uk_plate_original_crops,train
AF25MYU,data/raw/plate_crops/white/AF25MYU.png,AF25MYU,7,uk_plate_original_crops,val
AF32GWH,data/raw/plate_crops/white/AF32GWH.png,AF32GWH,7,uk_plate_original_crops,train
AF39NMS,data/raw/plate_crops/white/AF39NMS.png,AF39NMS,7,uk_plate_original_crops,train
AF43OSS,data/raw/plate_crops/white/AF43OSS.png,AF43OSS,7,uk_plate_original_crops,train
AF54JFL,data/raw/plate_crops/white/AF54JFL.png,AF54JFL,7,uk_plate_original_crops,train
AF62RND,data/raw/plate_crops/white/AF62RND.png,AF62RND,7,uk_plate_original_crops,train
AF62TPE,data/raw/plate_crops/white/AF62TPE.png,AF62TPE,7,uk_plate_original_crops,train
AF72AXC,data/raw/plate_crops/white/AF72AXC.png,AF72AXC,7,uk_plate_original_crops,test
AF80XWJ,data/raw/plate_crops/white/AF80XWJ.png,AF80XWJ,7,uk_plate_original_crops,train
AF99ZNW,data/raw/plate_crops/white/AF99ZNW.png,AF99ZNW,7,uk_plate_original_crops,train
AG09TEA,data/raw/plate_crops/white/AG09TEA.png,AG09TEA,7,uk_plate_original_crops,test
AG19MZQ,data/raw/plate_crops/white/AG19MZQ.png,AG19MZQ,7,uk_plate_original_crops,train
AG24TJA,data/raw/plate_crops/white/AG24TJA.png,AG24TJA,7,uk_plate_original_crops,train
AG31TRD,data/raw/plate_crops/white/AG31TRD.png,AG31TRD,7,uk_plate_original_crops,test
AG32CCL,data/raw/plate_crops/white/AG32CCL.png,AG32CCL,7,uk_plate_original_crops,train
AG44ZPB,data/raw/plate_crops/white/AG44ZPB.png,AG44ZPB,7,uk_plate_original_crops,val
AG56DRB,data/raw/plate_crops/white/AG56DRB.png,AG56DRB,7,uk_plate_original_crops,train
AG56LFJ,data/raw/plate_crops/white/AG56LFJ.png,AG56LFJ,7,uk_plate_original_crops,train
AG58QLC,data/raw/plate_crops/white/AG58QLC.png,AG58QLC,7,uk_plate_original_crops,train
AG61OBX,data/raw/plate_crops/white/AG61OBX.png,AG61OBX,7,uk_plate_original_crops,train
AG73ABH,data/raw/plate_crops/white/AG73ABH.png,AG73ABH,7,uk_plate_original_crops,val
AG84VFH,data/raw/plate_crops/white/AG84VFH.png,AG84VFH,7,uk_plate_original_crops,train
AG84XAZ,data/raw/plate_crops/white/AG84XAZ.png,AG84XAZ,7,uk_plate_original_crops,train
AG94UXP,data/raw/plate_crops/white/AG94UXP.png,AG94UXP,7,uk_plate_original_crops,val
AH00ARJ,data/raw/plate_crops/white/AH00ARJ.png,AH00ARJ,7,uk_plate_original_crops,train
AH02EGH,data/raw/plate_crops/white/AH02EGH.png,AH02EGH,7,uk_plate_original_crops,train
AH04RYG,data/raw/plate_crops/white/AH04RYG.png,AH04RYG,7,uk_plate_original_crops,train
AH07IST,data/raw/plate_crops/white/AH07IST.png,AH07IST,7,uk_plate_original_crops,train
AH11QIE,data/raw/plate_crops/white/AH11QIE.png,AH11QIE,7,uk_plate_original_crops,train
AH16NVI,data/raw/plate_crops/white/AH16NVI.png,AH16NVI,7,uk_plate_original_crops,train
AH18SMG,data/raw/plate_crops/white/AH18SMG.png,AH18SMG,7,uk_plate_original_crops,train
AH24KRE,data/raw/plate_crops/white/AH24KRE.png,AH24KRE,7,uk_plate_original_crops,train
AH26VNC,data/raw/plate_crops/white/AH26VNC.png,AH26VNC,7,uk_plate_original_crops,val
AH32MTZ,data/raw/plate_crops/white/AH32MTZ.png,AH32MTZ,7,uk_plate_original_crops,val
AH37XXY,data/raw/plate_crops/white/AH37XXY.png,AH37XXY,7,uk_plate_original_crops,train
AH39MSV,data/raw/plate_crops/white/AH39MSV.png,AH39MSV,7,uk_plate_original_crops,test
AH45TSN,data/raw/plate_crops/white/AH45TSN.png,AH45TSN,7,uk_plate_original_crops,train
AH50BNF,data/raw/plate_crops/white/AH50BNF.png,AH50BNF,7,uk_plate_original_crops,test
AH53RAC,data/raw/plate_crops/white/AH53RAC.png,AH53RAC,7,uk_plate_original_crops,train
AH62SKV,data/raw/plate_crops/white/AH62SKV.png,AH62SKV,7,uk_plate_original_crops,test
AH68VSS,data/raw/plate_crops/white/AH68VSS.png,AH68VSS,7,uk_plate_original_crops,train
AH76VYI,data/raw/plate_crops/white/AH76VYI.png,AH76VYI,7,uk_plate_original_crops,train
AH81EGG,data/raw/plate_crops/white/AH81EGG.png,AH81EGG,7,uk_plate_original_crops,train
AH83FNH,data/raw/plate_crops/white/AH83FNH.png,AH83FNH,7,uk_plate_original_crops,test
AH84OUP,data/raw/plate_crops/white/AH84OUP.png,AH84OUP,7,uk_plate_original_crops,train
AH84TYI,data/raw/plate_crops/white/AH84TYI.png,AH84TYI,7,uk_plate_original_crops,train
AH85PPT,data/raw/plate_crops/white/AH85PPT.png,AH85PPT,7,uk_plate_original_crops,train
AH89XHE,data/raw/plate_crops/white/AH89XHE.png,AH89XHE,7,uk_plate_original_crops,train
AH94JFH,data/raw/plate_crops/white/AH94JFH.png,AH94JFH,7,uk_plate_original_crops,train
AI04IYY,data/raw/plate_crops/white/AI04IYY.png,AI04IYY,7,uk_plate_original_crops,train
AI18QLA,data/raw/plate_crops/white/AI18QLA.png,AI18QLA,7,uk_plate_original_crops,train
AI19LSV,data/raw/plate_crops/white/AI19LSV.png,AI19LSV,7,uk_plate_original_crops,val
AI24NPJ,data/raw/plate_crops/white/AI24NPJ.png,AI24NPJ,7,uk_plate_original_crops,train
AI33AOD,data/raw/plate_crops/white/AI33AOD.png,AI33AOD,7,uk_plate_original_crops,train
AI33ROK,data/raw/plate_crops/white/AI33ROK.png,AI33ROK,7,uk_plate_original_crops,train
AI34UGQ,data/raw/plate_crops/white/AI34UGQ.png,AI34UGQ,7,uk_plate_original_crops,train
AI36VKF,data/raw/plate_crops/white/AI36VKF.png,AI36VKF,7,uk_plate_original_crops,train
AI37YVG,data/raw/plate_crops/white/AI37YVG.png,AI37YVG,7,uk_plate_original_crops,train
AI49LFT,data/raw/plate_crops/white/AI49LFT.png,AI49LFT,7,uk_plate_original_crops,train
AI60WNS,data/raw/plate_crops/white/AI60WNS.png,AI60WNS,7,uk_plate_original_crops,train
AI65BNP,data/raw/plate_crops/white/AI65BNP.png,AI65BNP,7,uk_plate_original_crops,train
AI66MON,data/raw/plate_crops/white/AI66MON.png,AI66MON,7,uk_plate_original_crops,train
AI70MZP,data/raw/plate_crops/white/AI70MZP.png,AI70MZP,7,uk_plate_original_crops,train
AI71SOO,data/raw/plate_crops/white/AI71SOO.png,AI71SOO,7,uk_plate_original_crops,train
AI71UJV,data/raw/plate_crops/white/AI71UJV.png,AI71UJV,7,uk_plate_original_crops,train
AI75JEI,data/raw/plate_crops/white/AI75JEI.png,AI75JEI,7,uk_plate_original_crops,train
AI79FCW,data/raw/plate_crops/white/AI79FCW.png,AI79FCW,7,uk_plate_original_crops,val
AI82QTH,data/raw/plate_crops/white/AI82QTH.png,AI82QTH,7,uk_plate_original_crops,train
AI85LHZ,data/raw/plate_crops/white/AI85LHZ.png,AI85LHZ,7,uk_plate_original_crops,test
AI88BTD,data/raw/plate_crops/white/AI88BTD.png,AI88BTD,7,uk_plate_original_crops,train
AI93GWD,data/raw/plate_crops/white/AI93GWD.png,AI93GWD,7,uk_plate_original_crops,train
AI96AIQ,data/raw/plate_crops/white/AI96AIQ.png,AI96AIQ,7,uk_plate_original_crops,train
AJ00LPB,data/raw/plate_crops/white/AJ00LPB.png,AJ00LPB,7,uk_plate_original_crops,train
AJ12CCM,data/raw/plate_crops/white/AJ12CCM.png,AJ12CCM,7,uk_plate_original_crops,test
AJ14WJT,data/raw/plate_crops/white/AJ14WJT.png,AJ14WJT,7,uk_plate_original_crops,train
AJ23SED,data/raw/plate_crops/white/AJ23SED.png,AJ23SED,7,uk_plate_original_crops,val
AJ34UHY,data/raw/plate_crops/white/AJ34UHY.png,AJ34UHY,7,uk_plate_original_crops,train
AJ38QJP,data/raw/plate_crops/white/AJ38QJP.png,AJ38QJP,7,uk_plate_original_crops,train
AJ39UGB,data/raw/plate_crops/white/AJ39UGB.png,AJ39UGB,7,uk_plate_original_crops,train
